feature,permutation_auprc_drop_mean,permutation_auprc_drop_std,train_coverage
MinuteVolume__slope_per_min,-0.00010820616445746944,0.00023352663490835404,0.836594280799828
MeanAirwayPressure__std,-0.00012111450077840017,6.604697034643353e-05,0.9989249623736831
PIP__last,-0.0001369301996305139,0.001083268353985736,0.9974199096968394
InCO2__slope_per_min,-0.00017282288865502944,4.731872093344617e-05,0.9946248118684154
Compliance__std,-0.00021844022937112702,0.0010805125951441924,0.9989249623736831
BIS__last,-0.00023474962508849285,0.0017662545815440873,0.9114168995914858
SetTidalVolume__coverage,-0.00024072212085792059,0.0007218166154308647,1.0
InCO2__std,-0.00024117227679290771,0.00018835866702779635,0.9952698344442056
HR__std,-0.00025119695359918277,0.0004640046096691617,1.0
MAC__coverage,-0.0002535196232085313,8.971644915528148e-05,1.0
PEEP__std,-0.00026800740857276797,0.0001701961341674607,0.9956998494947323
PlateauPressure__std,-0.00030773823360889335,0.0008290074405971907,0.9956998494947323
SetRespRate__last,-0.0004854216457225132,0.001989770834148769,0.9903246613631477
BIS_EMG__slope_per_min,-0.0005130235416402785,0.0007541415737003572,0.9079767791872716
PropofolRate__coverage,-0.0005226977230970061,0.000873165376798304,1.0
MAP__std,-0.0005795451341443399,0.0010319691472134166,1.0
BIS__std,-0.0007780455807121241,0.0011250742726036963,0.9114168995914858
ExpSevo__slope_per_min,-0.0008316839843151643,0.0007573011175269111,0.4878520748226188
TidalVolume__mean,-0.0008503930908449697,0.0028201655182216734,0.9967748871210492
EtCO2__mean,-0.0008748057247154773,0.0021928065109790636,0.9948398193936788
RemiRate__last,-0.0009342409690129116,0.004266086374939834,0.7060847129649538
BIS_EMG__std,-0.0010107526977041648,0.001295926890174484,0.9079767791872716
SetTidalVolume__last,-0.0011637691550330676,0.003539969932514556,0.9698989464631262
FiO2__std,-0.0013478409353509598,0.0003524974890806207,0.9952698344442056
TidalVolume__std,-0.0018085224638083855,0.001222395667212004,0.9967748871210492
SpO2__last,-0.0019082774707158024,0.0006140951997834521,0.9963448720705225
PlateauPressure__mean,-0.0019132764572561485,0.0015399855887587108,0.9956998494947323
MeanAirwayPressure__mean,-0.0020355082039309135,0.0012721498968744727,0.9989249623736831
ExpSevo__std,-0.002361977191702665,0.0019705745638507024,0.5891206192216728
FiO2__mean,-0.0031032955861984403,0.004219071638954944,0.9952698344442056
PlateauPressure__last,-0.003449143740486438,0.0011492467232059951,0.9956998494947323
MinuteVolume__mean,-0.0034975432018781285,0.0026382673907196993,0.997204902171576
SetRespRate__mean,-0.0036539406263135046,0.0018212429378822543,0.9903246613631477
ExpSevo__coverage,-0.003983660911417786,0.001551886728981574,1.0
BIS_SEF__last,-0.004763191606115573,0.0030210139479404244,0.891421199741991
Temperature__mean,-0.005199379769404259,0.004342046904682557,0.8353042356482477
MinuteVolume__last,-0.005641596572905235,0.0023420396507298287,0.997204902171576
ExpSevo__last,-0.005681383211112297,0.002879356835213213,0.5891206192216728
ExpSevo__mean,-0.005684869490042188,0.004744115105668071,0.5891206192216728
Temperature__std,-0.006208224938901293,0.0014003960869974476,0.8353042356482477
HR__last,-0.007123516992501489,0.004193660798348951,1.0
Temperature__slope_per_min,-0.007243375536843399,0.0026008222899457454,0.8350892281229843
Temperature__coverage,-0.008099683809962606,0.0024482010248825497,1.0
BIS_SEF__mean,-0.008147993856069647,0.002467683147426871,0.891421199741991
Age__value,-0.008171868200105263,0.0017921829202347374,1.0
FeO2__last,-0.009151782771588797,0.003513694939552035,0.9950548269189422
SpO2__mean,-0.009468792532666285,0.0015585038344501751,0.9963448720705225
HR__mean,-0.009614339799081903,0.0067408805745710326,1.0
Compliance__mean,-0.009771143802721812,0.003228944988188041,0.9989249623736831
Temperature__last,-0.010100004305341045,0.0034313338823046017,0.8353042356482477
FeO2__mean,-0.010249220468912664,0.0038652684350249057,0.9950548269189422
Weight__value,-0.01119365395645704,0.004568829852446951,1.0
FiO2__last,-0.011536466750976226,0.003316956144194173,0.9952698344442056
EmergencyOperation__value,-0.018306923443791163,0.0034210672700846568,1.0
BMI__value,-0.026176562250047393,0.004943221739536737,1.0
Height__value,-0.030935843799131304,0.0065375030127349945,1.0
